# linux cli commands,category,description
# categories: see file linux_cat.csv

# each command should appear only once

lscpu;1;détails sur archi CPU;;CPU
lsusb;1;liste périphs USB;;USB
lsblk;1;liste périphs stockage "bloc"
lsdev;1;infos générales sur _hardware_
lsof;1;_list open files_;ss
ss;1;_socket statistics_;lsof
lspci;1;_list all PCI devices_;;PCI
lshw;1;_list hardware_
sensors;1;données capteurs (température, tension, etc.)
free;1;état RAM utilisée/libre;vmstat
vmstat;1;état mémoire virtuelle;free
swapon;1;gestion mémoire _swap_;swapoff
swapoff;1;gestion mémoire _swap_;swapon
acpi;1;details sur alimentation (batterie ou secteur)
lstopo;1;architecture CPU (coeurs, RAM cache, ...)
sudo;1;exécution d'une commande admin;su
su;1;changement temporaire de _user_;sudo
hwclock;1;accès horloge interne;time

top;21;_dashboard_ système & process;htop
htop;21;top en mieux;top,nmon
btop;21; monitoring système;htop,top
iotop;21;liste process avec leur utilisation I/O disque
nmon;21;_dashboard_ système;htop
pstree;21;arborescence des process;ps
ps;21;snapshot des process;top,pstree

shutdown;1;Comme son nom l'indique...;reboot,halt
reboot;1;reboot;shutdown,halt
halt;1;;shutdown,reboot

pidof;12; donne le PID d'un process;ps
kill;12;stoppe un process par PID (envoi d'un signal POSIX);pkill
pkill;12;stoppe un process par nom;kill
killall;12;stoppe tous les process par nom
chrt;12;manipulation attributs d'un process

fmt;7;text formatter

fdisk;2;_manipulate disk partition table_
fsck;2;Vérification et correction système de fichier
df;2;_disk free_
du;2;_disk usage_
dd;2;utilitaire de copie bas niveau

find;5;_search for files, folders,_ ...
convert;7;conversion format d'image
fc-list;7;_list available fonts_;pango-list
cron;7;planification de tâches;at
pango-list;7;liste des polices de caractères installées;fc-list
at;7;planification de tâches;cron

git;6;**LE** gestionnaire de versions de fichiers source
make;6;construction d'une cible en fonction des dépendances
gcc;6;compilation C
g++;6;compilation C++
strings;6;extraction de chaines dans des binaires
gdb;6;déboggage pas à pas
cloc;6;_Count Lines Of Code_;wc
ld;6;_linker_ de binaires
ldconfig;6;_configure dynamic linker run-time bindings_
pkg-config;6;outil de paramétrage de compilation, renvoie les infos sur librairies installées
cmake;6;outil de _build_ multi OS

history;4;historique des commandes
lsb_release;4;version distribution;uname
uname;4;version noyau;lsb_release
arch;4;architecture processeur;uname;CPU

cp;11;copie fichier(s);mv
mv;11;déplacement/renommage;cp
rm;11;suppression fichier;rmdir
ln;11;création de lien, symbolique ou _hardlink_
cmp;11;comparaison de fichiers, par octet;diff
comm;11;comparaison de fichiers, par ligne;diff
diff;11;différences entre 2 fichiers, ligne par ligne;cmp

tree;15;affiche l'arborescence d'un dossier;ls
rmdir;15;supression dossier;rm
mkdir;15;_make directory_
ls;15;_list directory content_
dir;15;alias de ls;ls
cd;15;_Change Directory_;pushd
pushd;15;chgt dossier courant avec sauvegarde;popd
popd;15;récupération dossier courant;pushd

whatis;4;que fait cette commande?
pwd;4;_print working directory_
locate;4;localise un programme dans le système;which
updatedb;4;mise à jour BDD `locate`;locate
man;4;manuel;help
info;4;aide sur commande;man
help;4;liste commandes "_builtin_" et aide;man
grep;8;recherche de chaîne;ripgrep
ripgrep;8;(rg) grep récursif;grep

